spread,REB_away,AST_away,FG_PCT_away,MONTH,VISITOR_injuries_severity,data_source,AST_home,VISITOR_injuries_active,HOME_injury_impact,VISITOR_TEAM_ID,GAME_DATE_EST,HOME_TEAM_WINS,FT_PCT_home,GAME_ID,VISITOR_injury_impact,moneyline_home,PTS_away,HOME_star_injuries,total,is_real_vegas_line,HOME_injuries_severity,FG3_PCT_home,HOME_days_since_injury,moneyline_away,FG3_PCT_away,HOME_injuries_recent_7d,SEASON,VISITOR_star_injuries,HOME_injuries_active,VISITOR_injuries_major,HOME_TEAM_ID,VISITOR_injuries_recent_7d,PTS_home,HOME_injuries_major,REB_home,FT_PCT_away,FG_PCT_home,VISITOR_days_since_injury,TARGET,home_ml,HOME_AWAY_STREAK_x_x,HOME_AWAY_STREAK_y_x,HOME_AWAY_STREAK_x_y,HOME_AWAY_STREAK_y_y
0.0,51,25,0.43,10,0.0,synthetic,16,0.0,0.0,1610612739,2003-10-30 00:00:00+00:00,1,0.711,-14,0.0,0.0,86,0.0,0.0,False,0.0,0.2,0.0,0.0,0.25,0.0,2003,0.0,0.0,0.0,1610612756,0.0,95,0.0,43,0.583,0.413,0.0,,,-1,-3,-1,-3
0.0,43,19,0.449,10,0.0,synthetic,18,0.0,0.0,1610612740,2003-10-30 00:00:00+00:00,0,0.848,-16,0.0,0.0,100,0.0,0.0,False,0.0,0.316,0.0,0.0,0.368,0.0,2003,0.0,0.0,0.0,1610612753,0.0,98,0.0,36,0.885,0.41,0.0,,,-3,2,-3,2
0.0,38,10,0.356,10,0.0,synthetic,21,0.0,0.0,1610612743,2003-10-30 00:00:00+00:00,1,0.75,-15,0.0,0.0,85,0.0,0.0,False,0.0,0.571,0.0,0.0,0.308,0.0,2003,0.0,0.0,0.0,1610612745,0.0,102,0.0,44,0.806,0.487,0.0,,,-2,1,-2,1
0.0,49,20,0.542,10,0.0,synthetic,20,0.0,0.0,1610612749,2003-10-31 00:00:00+00:00,0,0.75,-11,0.0,0.0,93,0.0,0.0,False,0.0,0.25,0.0,0.0,0.267,0.0,2003,0.0,0.0,0.0,1610612754,0.0,79,0.0,25,0.647,0.388,0.0,,,-1,-2,-1,-2
0.0,37,17,0.443,10,0.0,synthetic,24,0.0,0.0,1610612764,2003-10-31 00:00:00+00:00,1,0.833,-13,0.0,0.0,79,0.0,0.0,False,0.0,0.333,0.0,0.0,0.143,0.0,2003,0.0,0.0,0.0,1610612761,0.0,82,0.0,49,0.762,0.386,0.0,,,2,-2,2,-2
0.0,36,15,0.333,10,0.0,synthetic,29,0.0,0.0,1610612750,2003-10-31 00:00:00+00:00,1,0.625,-10,0.0,0.0,61,0.0,0.0,False,0.0,0.133,0.0,0.0,0.2,0.0,2003,0.0,0.0,0.0,1610612751,0.0,84,0.0,43,0.818,0.456,0.0,,,-2,1,-2,1
0.0,40,15,0.435,10,0.0,synthetic,14,0.0,0.0,1610612765,2003-10-31 00:00:00+00:00,0,0.769,-12,0.0,0.0,93,0.0,0.0,False,0.0,0.111,0.0,0.0,0.357,0.0,2003,0.0,0.0,0.0,1610612748,0.0,81,0.0,43,0.8,0.357,0.0,,,-2,1,-2,1
0.0,42,27,0.535,10,0.0,synthetic,23,0.0,0.0,1610612760,2003-10-31 00:00:00+00:00,0,0.833,-7,0.0,0.0,124,0.0,0.0,False,0.0,0.381,0.0,0.0,0.346,0.0,2003,0.0,0.0,0.0,1610612746,0.0,105,0.0,43,0.793,0.404,0.0,,,-2,2,-2,2
0.0,49,21,0.472,10,0.0,synthetic,24,0.0,0.0,1610612738,2003-10-31 00:00:00+00:00,0,0.758,-9,0.0,0.0,93,0.0,0.0,False,0.0,0.231,0.0,0.0,0.231,0.0,2003,0.0,0.0,0.0,1610612763,0.0,91,0.0,44,0.667,0.37,0.0,,,1,2,1,2
0.0,48,22,0.4,10,0.0,synthetic,27,0.0,0.0,1610612737,2003-10-31 00:00:00+00:00,1,0.759,-8,0.0,0.0,94,0.0,0.0,False,0.0,0.5,0.0,0.0,0.583,0.0,2003,0.0,0.0,0.0,1610612741,0.0,100,0.0,53,0.714,0.4,0.0,,,1,-1,1,-1
